% f evaluations | g evaluations | best noise-free fitness - Fopt (3.590000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.851541169e+06 +1.851577069e+06 +1.851577069e+06
2 0 +1.162800550e+06 +1.162836450e+06 +1.162836450e+06
3 0 +1.136987807e+06 +1.137023707e+06 +1.137023707e+06
8 0 +9.531383233e+05 +9.531742233e+05 +9.531742233e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.137000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.277849237e+06 +2.277880607e+06 +2.277880607e+06
2 0 +1.809040075e+06 +1.809071445e+06 +1.809071445e+06
4 0 +1.077627829e+06 +1.077659199e+06 +1.077659199e+06
9 0 +1.048868994e+06 +1.048900364e+06 +1.048900364e+06
30 0 +5.930386823e+05 +5.930700523e+05 +5.930700523e+05
202 0 +4.059576022e+05 +4.059889722e+05 +4.059889722e+05
352 0 +3.892273194e+05 +3.892586894e+05 +3.892586894e+05
353 0 +3.775545845e+05 +3.775859545e+05 +3.775859545e+05
462 0 +3.409511960e+05 +3.409825660e+05 +3.409825660e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.587636471e+06 +1.586636471e+06 +1.586636471e+06
2 0 +8.552619971e+05 +8.542619971e+05 +8.542619971e+05
6 0 +5.899581156e+05 +5.889581156e+05 +5.889581156e+05
54 0 +5.241523832e+05 +5.231523832e+05 +5.231523832e+05
310 0 +5.103362063e+05 +5.093362063e+05 +5.093362063e+05
405 0 +4.097632382e+05 +4.087632382e+05 +4.087632382e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.319200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.795827278e+06 +1.795959198e+06 +1.795959198e+06
2 0 +1.612188436e+06 +1.612320356e+06 +1.612320356e+06
4 0 +1.086204197e+06 +1.086336117e+06 +1.086336117e+06
55 0 +1.039763870e+06 +1.039895790e+06 +1.039895790e+06
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.908400000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.936707659e+06 +1.937298499e+06 +1.937298499e+06
2 0 +1.468888415e+06 +1.469479255e+06 +1.469479255e+06
29 0 +1.105196099e+06 +1.105786939e+06 +1.105786939e+06
204 0 +1.063291244e+06 +1.063882084e+06 +1.063882084e+06
253 0 +1.044099867e+06 +1.044690707e+06 +1.044690707e+06
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.749000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.215047851e+06 +1.215115341e+06 +1.215115341e+06
2 0 +1.021680242e+06 +1.021747732e+06 +1.021747732e+06
24 0 +7.389290312e+05 +7.389965212e+05 +7.389965212e+05
52 0 +6.192384085e+05 +6.193058985e+05 +6.193058985e+05
108 0 +6.062918012e+05 +6.063592912e+05 +6.063592912e+05
258 0 +5.907272045e+05 +5.907946945e+05 +5.907946945e+05
302 0 +5.615248765e+05 +5.615923665e+05 +5.615923665e+05
407 0 +4.243979394e+05 +4.244654294e+05 +4.244654294e+05
1304 0 +3.641572530e+05 +3.642247430e+05 +3.642247430e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.085000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.290254862e+06 +1.290285712e+06 +1.290285712e+06
4 0 +9.404368313e+05 +9.404676813e+05 +9.404676813e+05
54 0 +8.942775882e+05 +8.943084382e+05 +8.943084382e+05
102 0 +7.564891586e+05 +7.565200086e+05 +7.565200086e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.255000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.986799615e+06 +1.986787065e+06 +1.986787065e+06
13 0 +1.618326418e+06 +1.618313868e+06 +1.618313868e+06
17 0 +1.257758312e+06 +1.257745762e+06 +1.257745762e+06
38 0 +1.078383222e+06 +1.078370672e+06 +1.078370672e+06
158 0 +1.054754309e+06 +1.054741759e+06 +1.054741759e+06
209 0 +9.320095813e+05 +9.319970313e+05 +9.319970313e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.383900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.976600462e+06 +2.977138852e+06 +2.977138852e+06
2 0 +1.604861517e+06 +1.605399907e+06 +1.605399907e+06
3 0 +1.135970618e+06 +1.136509008e+06 +1.136509008e+06
15 0 +1.103022273e+06 +1.103560663e+06 +1.103560663e+06
104 0 +1.086793578e+06 +1.087331968e+06 +1.087331968e+06
154 0 +9.683174282e+05 +9.688558182e+05 +9.688558182e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.055600000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.664222535e+06 +1.664116975e+06 +1.664116975e+06
2 0 +6.248839765e+05 +6.247784165e+05 +6.247784165e+05
26 0 +3.742175892e+05 +3.741120292e+05 +3.741120292e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (9.803000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.289704182e+06 +2.289802212e+06 +2.289802212e+06
2 0 +2.274531083e+06 +2.274629113e+06 +2.274629113e+06
3 0 +2.238598091e+06 +2.238696121e+06 +2.238696121e+06
13 0 +1.801888932e+06 +1.801986962e+06 +1.801986962e+06
20 0 +1.132557090e+06 +1.132655120e+06 +1.132655120e+06
306 0 +1.090430793e+06 +1.090528823e+06 +1.090528823e+06
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.818074930e+05 +9.828074930e+05 +9.828074930e+05
4 0 +8.161988644e+05 +8.171988644e+05 +8.171988644e+05
6 0 +5.827518416e+05 +5.837518416e+05 +5.837518416e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.490000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.832545445e+06 +1.832546935e+06 +1.832546935e+06
2 0 +1.103412936e+06 +1.103414426e+06 +1.103414426e+06
5 0 +1.092110149e+06 +1.092111639e+06 +1.092111639e+06
30 0 +1.066607886e+06 +1.066609376e+06 +1.066609376e+06
104 0 +9.984315561e+05 +9.984330461e+05 +9.984330461e+05
303 0 +8.801933305e+05 +8.801948205e+05 +8.801948205e+05
360 0 +8.327584198e+05 +8.327599098e+05 +8.327599098e+05
454 0 +6.048548807e+05 +6.048563707e+05 +6.048563707e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.963500000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.675795771e+06 +1.676392121e+06 +1.676392121e+06
2 0 +8.786356737e+05 +8.792320237e+05 +8.792320237e+05
3 0 +6.381373291e+05 +6.387336791e+05 +6.387336791e+05
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.189700000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.456755194e+06 +1.456636224e+06 +1.456636224e+06
3 0 +1.020625204e+06 +1.020506234e+06 +1.020506234e+06
38 0 +7.263848020e+05 +7.262658320e+05 +7.262658320e+05
47 0 +6.680713454e+05 +6.679523754e+05 +6.679523754e+05
1161 0 +5.995304913e+05 +5.994115213e+05 +5.994115213e+05
