% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.694000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.267967481e+01 +5.739674808e+00 +5.739674808e+00 +4.4075e+00 +3.1129e-02 -1.9566e+00 +4.8772e+00 +3.6867e+00 +1.2541e-01 +2.7530e+00 -3.1738e-03 -3.0208e+00 -1.5143e+00 +7.7317e-01 +3.6582e-01 +1.2691e+00 -1.9516e+00 +1.8073e+00 +1.0788e+00 +4.4723e-01 +9.1495e-01 +6.2295e-01 +3.7514e+00
2 0 +1.276221433e+01 -4.177785673e+00 -4.177785673e+00 -6.3493e-01 +7.6339e-01 -4.4706e+00 +1.4395e+00 +3.0176e+00 +1.8708e+00 +1.3684e+00 +1.8459e+00 +1.1610e-01 +2.6836e+00 +3.7353e+00 +9.1787e-01 -7.4840e-01 +1.8898e+00 +2.0754e+00 +4.9923e+00 +4.3353e+00 +2.5419e-01 -1.3573e+00 +1.6212e+00
103 0 +1.222588759e+01 -4.714112411e+00 -4.714112411e+00 +8.6999e-01 +2.0803e-01 -3.9669e+00 +1.5105e+00 +2.4346e+00 +1.2308e+00 +1.1351e+00 +1.5618e+00 +3.2823e-01 +1.6453e+00 +2.8898e+00 +8.8253e-01 -6.6862e-01 +1.0472e+00 +1.0826e+00 +2.9332e+00 +2.8686e+00 -1.1806e-01 -3.1192e-01 +1.5065e+00
202 0 +9.916309399e+00 -7.023690601e+00 -7.023690601e+00 +1.5010e+00 +5.0937e-01 -1.9559e+00 +1.9902e+00 +2.3841e+00 +1.2497e+00 +2.0661e+00 +1.2613e+00 -1.6294e-01 +8.9443e-01 +2.3735e+00 +5.7511e-01 +1.7572e-01 -1.7861e-01 +5.6017e-01 +2.5136e+00 +1.7596e+00 +3.9836e-01 -3.9732e-01 +2.4219e+00
203 0 +8.672105725e+00 -8.267894275e+00 -8.267894275e+00 +2.8796e+00 +2.5314e-01 -1.6840e+00 +3.3768e+00 +3.2090e+00 +1.4014e-01 +2.6046e+00 +4.4887e-01 -1.4734e+00 -7.6887e-01 +1.8416e+00 +4.4284e-01 +3.2318e-01 -1.2799e+00 +1.1318e+00 +1.6443e+00 +8.8721e-01 +1.0303e+00 +1.5891e-02 +2.9176e+00
962 0 +8.477735835e+00 -8.462264165e+00 -8.462264165e+00 +1.6165e+00 -1.2588e+00 -6.1101e-02 +2.1212e+00 +2.1034e+00 -1.1739e-01 +8.8614e-01 -9.8747e-01 -4.1499e-01 -9.4469e-01 +7.5757e-01 +4.3292e-01 +5.1607e-01 -1.7128e+00 +2.3620e+00 +5.8559e-01 +2.4908e-01 +1.8500e+00 -9.8405e-01 +3.1514e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.881000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.607641692e+01 +3.488641692e+01 +3.488641692e+01 -2.2125e-01 -2.2638e-01 +3.2695e+00 +3.4657e+00 -4.9228e+00 +2.5040e+00 +1.4441e+00 +2.7323e+00 +3.8824e-01 +2.8926e+00 -1.8617e+00 +1.4342e+00 -9.7545e-01 -1.5691e+00 +2.6383e+00 -1.0850e+00 -6.7937e-01 -1.2022e+00 -3.4971e+00 -1.7767e+00
4 0 +1.505259733e+01 +3.386259733e+01 +3.386259733e+01 +2.5512e+00 -1.9433e+00 -2.7126e+00 +1.4349e+00 +2.9008e+00 -4.7620e-01 +1.6856e-02 -2.2484e-01 -7.4466e-01 +1.4452e+00 -1.4071e+00 +1.9788e+00 -1.2100e+00 +5.6574e-01 -1.8702e+00 +3.0412e+00 -4.0755e-01 +1.0093e+00 -2.1712e+00 +4.2566e+00
24 0 +1.259571052e+01 +3.140571052e+01 +3.140571052e+01 +1.2160e+00 -1.2012e+00 -3.8468e+00 +3.1495e+00 +4.2169e+00 -3.2712e+00 -3.9532e-01 +5.1020e-01 -1.9047e+00 +2.2002e+00 -3.0307e+00 +4.1354e+00 +3.2715e-01 -1.1716e+00 -1.5702e+00 +1.8282e+00 +1.0841e+00 +2.8940e-01 -1.8358e+00 +4.5453e+00
